info	erqa_mean	erqa_min	erqa_max	SI_mean	SI_min	SI_max	TI_mean	TI_min	TI_max	ssim_0_mean	ssim_0_min	ssim_0_max	ssim_1_mean	ssim_1_min	ssim_1_max	ssim_2_mean	ssim_2_min	ssim_2_max	lpips_mean	lpips_min	lpips_max	gabor_0_mean	gabor_0_min	gabor_0_max	gabor_1_mean	gabor_1_min	gabor_1_max	gabor_2_mean	gabor_2_min	gabor_2_max	gabor_3_mean	gabor_3_min	gabor_3_max	gabor_4_mean	gabor_4_min	gabor_4_max	gabor_5_mean	gabor_5_min	gabor_5_max	sobel_mean	sobel_min	sobel_max	lbp_mean	lbp_min	lbp_max	haff_mean	haff_min	haff_max	sobel_sd_mean	sobel_sd_min	sobel_sd_max	optical_mean	optical_min	optical_max	fft_mean	fft_min	fft_max	laplac_mean	laplac_min	laplac_max	colorfulness_diff_mean	colorfulness_diff_min	colorfulness_diff_max	colorfulness_mean	colorfulness_min	colorfulness_max	hist_mean	hist_min	hist_max	subjective
child@aomenc_RealSR@bitrate=459	0.509987105704851	0	0.7494033412887827	18931418.0	4740016.5	30396530.0	111.3407473359684	0	123.83410643637048	0.9155295417329029	0.8573932585837578	0.9527546055815634	0.985156166311118	0.9762928368003405	0.990394594491637	0.9654360314634395	0.9431689032913317	0.9823183154634618	0.12081578	0.0777	0.1728	-1.1133406778098738	-3.4166562801909515	-0.20730172523252752	-1.1133406778098738	-3.4166562801909515	-0.20730172523252752	-3.3136829914340593	-10.599094355208731	-0.0178055115298169	-3.3136829914340593	-10.599094355208731	-0.0178055115298169	-3.921027122558665	-9.494202289166251	-0.18111754619692014	-3.921027122558665	-9.494202289166251	-0.18111754619692014	3120.8	2128.9854	5865.8667	-657.1239368138076	-749.8613205119998	-579.4402471351123	4699.584500110759	0.0	11100.623315832314	3795.5789	1888.114	6201.9087	0.18921311	0.01002134	0.4551901	125.64099624648117	105.33511493684917	151.36211342064743	6829.502875116031	3801.5602060206807	9962.564529276586	0.2610740783570122	0.0022730108420709882	0.6919993926042025	27.590824449502872	17.830036367654124	43.56959412026815	0.0265512393064474	0.007566611000222228	0.046438818117093245	2.0067014065087916
child@aomenc_RealSR@bitrate=1456	0.5528046908716074	0	0.7452692867540028	19376724.0	4948934.5	31177224.0	110.75055621738329	0	123.47122662754205	0.9200005668745503	0.8589503860388303	0.955670301287656	0.9850031768132874	0.976084724295257	0.9903174630505521	0.9657156261641238	0.9453854424007118	0.9825977147701307	0.11361579	0.0752	0.1724	-1.305461434438819	-5.286231555365382	-0.20422552729635726	-1.305461434438819	-5.286231555365382	-0.20422552729635726	-2.0537931369898836	-5.726100340975592	-0.03994669087447319	-2.0537931369898836	-5.726100340975592	-0.03994669087447319	-2.8109729321161785	-8.005994877650274	-0.05669542225446374	-2.8109729321161785	-8.005994877650274	-0.05669542225446374	2820.0806	1930.4767	5523.9624	-645.4192949182425	-730.5306290635596	-571.4910323005953	5433.936059626784	0.0	12448.130100541206	3623.902	1810.3268	6036.536	0.12153576	0.0134440195	0.29507914	122.88815221753829	105.21175450975143	145.20798851088057	6786.6493980109135	3746.219961507866	9833.042662370584	0.2593830537525262	0.01231348359453932	0.9105283524458159	27.633188564955528	17.634691768857174	43.720311898812625	0.02432061974126899	0.007939863421858217	0.04470401259867878	2.684707032533442
child@aomenc_SOF-VSR-BI@bitrate=865	0.5211509723548519	0	0.7797101449275362	19009784.0	4991417.0	30133810.0	108.40002683594489	0	123.24345492569414	0.9234107520187644	0.654780897488374	0.9567348239907102	0.9860639898355454	0.969805186591611	0.9913065130874898	0.9682972139614823	0.9467126299683553	0.9835713358296669	0.1270079	0.0864	0.2454	-1.1397456524018146	-10.174038709154544	-0.18258564828250853	-1.1397456524018146	-10.174038709154544	-0.18258564828250853	-1.8179980703163632	-5.280917117959413	-0.11699371322981908	-1.8179980703163632	-5.280917117959413	-0.11699371322981908	-2.473815798477857	-7.6476718807275885	-0.22529587985712476	-2.473815798477857	-7.6476718807275885	-0.22529587985712476	2815.388	1837.9902	11518.638	-637.8353172035538	-747.6964624765855	-558.8121330107284	4093.7710912904718	0.0	13196.301148427918	3466.7896	1727.249	7871.777	0.48168594	0.0073187277	24.687687	123.74591875751206	103.45554168066009	152.49726254320373	6278.782386302398	3659.6174663480883	19124.97006533605	0.3534746324482086	0.00018052407516933044	0.8274032311686383	27.231962130236166	17.32496581737016	42.94552323968661	0.025794796929679092	0.00604592060650551	0.05054653521395549	1.731099128704236
child@aomenc_SOF-VSR-BI@bitrate=459	nan	0	0.705710102489019	18733486.0	4922034.5	30318660.0	107.99807397918224	0	122.93649951515343	0.9172822043916949	0.6524802768085541	0.955431904126418	0.9859045685293616	0.9698790650768986	0.9915090001330867	0.9680325306240176	0.9478444305568448	0.9840063077403334	0.13584475	0.0915	0.2533	-1.1938258396717103	-9.216996147015145	-0.18644865615782222	-1.1938258396717103	-9.216996147015145	-0.18644865615782222	-2.5121519734302615	-8.07199700348759	-0.0447537121130028	-2.5121519734302615	-8.07199700348759	-0.0447537121130028	-2.9637946102171004	-8.03743946593677	-0.008080279927271054	-2.9637946102171004	-8.03743946593677	-0.008080279927271054	3157.3862	2026.9326	11561.795	-651.7388253238529	-740.4012425705403	-575.2660254178062	4071.8037369317126	0.0	13630.179712681707	3765.804	1825.6351	7975.6357	0.5484603	0.008986196	25.36541	126.75090975672586	105.05484808647643	157.48491309806778	6705.756994138314	3669.562371727724	18966.645459859265	0.4154571778061833	0.0002863208719148247	1.0401321129172842	27.177519832197802	17.31288893693214	42.74090934534897	0.027732779928273055	0.00712324494338028	0.052277475872789615	1.2239788243595262
child@aomenc_SOF-VSR-BI@bitrate=1456	0.5413793795016698	0	0.7649513212795549	19195826.0	5056550.0	30654342.0	108.56541682270402	0	123.02516615672434	0.9268786943199421	0.652927995671654	0.9586198990399325	0.9859913042776554	0.9700524157470527	0.9912080001589793	0.9684162298702547	0.9466489169658081	0.9841625182039454	0.12059738	0.0883	0.2364	-1.2178364504322519	-10.433841826074428	-0.22268670205511684	-1.2178364504322519	-10.433841826074428	-0.22268670205511684	-1.4567183170924671	-3.731919959044377	-0.039619048251757945	-1.4567183170924671	-3.731919959044377	-0.039619048251757945	-2.010024903231159	-6.367543540849534	-0.07377252835154628	-2.010024903231159	-6.367543540849534	-0.07377252835154628	2627.373	1726.8593	11713.215	-627.9346373282381	-750.3585809464699	-536.0335810376063	4060.4265010725726	0.0	13765.473620620542	3331.807	1753.8734	8283.715	0.4599556	0.0070491876	26.088898	121.57423431198877	101.54819804353892	150.24368682297327	6105.323747403297	3651.212949144435	19684.17374440695	0.36363067761404794	0.012894304596024142	0.9522575094591517	27.218553895034802	17.252493036338606	42.929848781837876	0.02467186321313537	0.005815609658569237	0.04773410845086812	1.877061583325478
child@aomenc_SwinIR@bitrate=865	nan	0	0.7377153797064454	20803250.0	5011780.5	33182974.0	110.31966102847987	0	123.32795631733656	0.9193681867369758	0.8636754518032733	0.9564787132015524	0.985080936026728	0.9759030269316414	0.9910166439024041	0.9666386693770564	0.9471459421893338	0.9835639515631412	0.120607905	0.0853	0.1762	-2.1334384149470567	-7.7038359414311675	-0.18513857736456693	-2.1334384149470567	-7.7038359414311675	-0.18513857736456693	-2.136925104864934	-6.724000873949992	-0.04157300338863457	-2.136925104864934	-6.724000873949992	-0.04157300338863457	-3.310230584606991	-12.30692738430648	-0.16464025270080535	-3.310230584606991	-12.30692738430648	-0.16464025270080535	3050.3086	2020.2587	5896.265	-638.885344630679	-729.0665264569483	-567.9013998926222	6650.860711962291	0.0	14075.95037643995	3723.2595	1950.8639	5963.4336	0.14000653	0.017358623	0.5076234	121.03356761600271	101.73706884203614	150.62116542675219	6870.766591039067	3710.6975085555005	9727.097203174233	0.5825700871879712	0.010354345203516857	2.009619279234567	27.191226901090108	16.221589544905996	43.0807008995604	0.02638842050661171	0.0066473085801260524	0.05021217116838034	3.021850814854382
child@aomenc_SwinIR@bitrate=459	0.5235875519083403	0	0.706033376123235	20742572.0	4975517.5	33218050.0	110.20799129557015	0	123.7449073792987	0.9145778552430571	0.8579873481755006	0.9530963200963821	0.985084122829323	0.9760479291668476	0.9908249659302093	0.966569353764285	0.9450043442484096	0.9835381313780557	0.12656051	0.0832	0.181	-2.2392490524948125	-7.0601576761145886	-0.1934756733172937	-2.2392490524948125	-7.0601576761145886	-0.1934756733172937	-2.2497773817278905	-5.716751606760401	-0.12939288860850642	-2.2497773817278905	-5.716751606760401	-0.12939288860850642	-3.4062504520309305	-10.32383991599212	-0.006077352667008169	-3.4062504520309305	-10.32383991599212	-0.006077352667008169	3345.0813	2255.1926	6220.0977	-650.3071710799389	-736.7964440739382	-574.0444233680875	6173.506472546938	0.0	12601.296639631972	3935.5945	1975.5824	6403.302	0.23287395	0.021505194	2.7392142	122.64088063738683	102.9411272563065	152.84105201049002	7136.273659889586	3799.307305286057	10127.081514434452	0.5469188848534278	0.011626508684358328	2.0440448177025843	27.139572782713337	16.383402709562418	42.86279551077246	0.02727707808909134	0.007288951001393796	0.052551404603621496	3.060777557604213
child@aomenc_SwinIR@bitrate=1456	0.5493143801024812	0	0.7202657807308971	20798352.0	5099249.0	33253524.0	110.14533498340538	0	123.18681164361578	0.9211154891255845	0.8642370600050657	0.9573315460548251	0.9851487232454517	0.9761085371340814	0.9908255374050743	0.9667622161181155	0.9460107063568242	0.983394907161301	0.11690923	0.0813	0.1721	-2.2822605415843458	-8.147623405541763	-0.17181944339285707	-2.2822605415843458	-8.147623405541763	-0.17181944339285707	-1.817894386975759	-8.208447604159534	-0.014281825628814441	-1.817894386975759	-8.208447604159534	-0.014281825628814441	-3.2038128323260624	-10.817618059774395	-0.053347834695730775	-3.2038128323260624	-10.817618059774395	-0.053347834695730775	2950.8835	1951.4822	5851.942	-631.677731065966	-724.0366012847693	-560.4962087293723	6776.232662339132	0.0	14156.559574981486	3649.4626	1893.2518	5858.6396	0.12132507	0.010003406	0.3316538	119.91735515078643	101.58747023341728	146.37576104843816	6793.647317745927	3702.3867977292703	9737.469897257706	0.5485648707692443	0.0053769751169809865	1.8502624021991991	27.20023798696076	16.262730654507816	43.10021584687138	0.02597118752692953	0.006491046432597396	0.04830281437948249	3.2470927823266535
child@aomenc_VRT@bitrate=865	0.5439173423509687	0	0.7799113737075332	19126922.0	5041672.5	30381020.0	110.45079372787355	0	122.93169691859472	0.9280886619293913	0.8817236271914564	0.9570672235874998	0.9858764209828583	0.9767571008903103	0.9913494304922205	0.9682645511026734	0.9504207722940717	0.9842174421130451	0.12429867	0.0916	0.1824	-0.9693341566723929	-3.044887129084174	-0.21651168754756028	-0.9693341566723929	-3.044887129084174	-0.21651168754756028	-1.7429071872638393	-4.244956245435646	-0.013673765597393797	-1.7429071872638393	-4.244956245435646	-0.013673765597393797	-2.4062598057194187	-6.4567420919172545	-0.0012993929362575833	-2.4062598057194187	-6.4567420919172545	-0.0012993929362575833	2626.9353	1816.5541	5449.4985	-633.877932264662	-731.605768156594	-552.1775076911409	3918.6300884925763	0.0	8681.349376681024	3351.4368	1716.4631	5796.891	0.097622685	0.00979607	0.24741663	123.15258473390853	104.93452921536753	147.80366236566525	6092.269148874115	3650.476681202059	8274.534427990495	0.3264242885243888	0.00256630555525561	0.8007874869538298	27.27122579135129	17.325853071275212	42.97746786817487	0.025531166996147183	0.006009863800183026	0.04902119318000619	1.7084617610392452
child@aomenc_VRT@bitrate=459	0.49235879294259294	0	0.6981919332406119	18806704.0	4907491.5	30207716.0	110.48690050547013	0	123.65542356236033	0.9217373405303529	0.869371316269999	0.9551896802847022	0.9856739089578671	0.9770917614008232	0.9914435791677195	0.9678894442036702	0.9494484433772683	0.9836222346425293	0.13475528	0.0902	0.1944	-1.0576240626507545	-3.3933804021934595	-0.20646960730008826	-1.0576240626507545	-3.3933804021934595	-0.20646960730008826	-2.381045357219256	-8.016544711492966	-0.010203463250635456	-2.381045357219256	-8.016544711492966	-0.010203463250635456	-3.170219939938125	-8.336750125995595	-0.004226844294604347	-3.170219939938125	-8.336750125995595	-0.004226844294604347	2988.0957	1993.9324	5963.403	-648.7466377113365	-738.7144238472672	-562.8685459323518	4044.8699137672775	0.0	8688.892046745661	3697.8286	1802.5388	5966.331	0.20620097	0.009891904	3.3068223	126.26949151323413	106.0397358018512	152.2931189695513	6563.296644019763	3694.621496175217	9721.545350405973	0.38393818957703835	0.005588339467159642	0.8984941693116753	27.22044453972533	17.355277508258215	42.93763652508841	0.027641100852166575	0.006852358537170029	0.05266860358037431	1.1841043156367441
