info	erqa_mean	erqa_min	erqa_max	SI_mean	SI_min	SI_max	TI_mean	TI_min	TI_max	ssim_0_mean	ssim_0_min	ssim_0_max	ssim_1_mean	ssim_1_min	ssim_1_max	ssim_2_mean	ssim_2_min	ssim_2_max	lpips_mean	lpips_min	lpips_max	gabor_0_mean	gabor_0_min	gabor_0_max	gabor_1_mean	gabor_1_min	gabor_1_max	gabor_2_mean	gabor_2_min	gabor_2_max	gabor_3_mean	gabor_3_min	gabor_3_max	gabor_4_mean	gabor_4_min	gabor_4_max	gabor_5_mean	gabor_5_min	gabor_5_max	sobel_mean	sobel_min	sobel_max	lbp_mean	lbp_min	lbp_max	haff_mean	haff_min	haff_max	sobel_sd_mean	sobel_sd_min	sobel_sd_max	optical_mean	optical_min	optical_max	fft_mean	fft_min	fft_max	laplac_mean	laplac_min	laplac_max	colorfulness_diff_mean	colorfulness_diff_min	colorfulness_diff_max	colorfulness_mean	colorfulness_min	colorfulness_max	hist_mean	hist_min	hist_max	subjective
beach@BasicVSR++_av1_40	0.21056827239561499	0.12403565276009287	0.3433532999945046	25149144.0	21944544.0	31620848.0	110.96034765898882	0	120.36338955196372	0.7202012753865138	0.6720725017901723	0.7618407342120977	0.9746741779984783	0.9614525846285662	0.9800194273836406	0.894150192083422	0.860463779729903	0.9151403486832967	0.31935555	0.2566	0.3758	-1.31623027049178	-5.183718451825641	-0.10794884387616444	-1.31623027049178	-5.183718451825641	-0.10794884387616444	-10.579772921600481	-17.778466621633914	-4.928824881101128	-10.579772921600481	-17.778466621633914	-4.928824881101128	-25.79819179407291	-33.59715313409389	-18.399788342494627	-25.79819179407291	-33.59715313409389	-18.399788342494627	7562.567	6221.3286	9337.225	-591.5440714372136	-655.5837093766135	-536.7606542957485	5304.555596943071	1793.8280296617065	11614.231700805698	7706.3203	5761.6724	10040.98	10.946324	2.900118	28.521332	158.39687846563334	142.97883410363372	171.74188843130477	24623.529713616976	21640.710247124516	29405.536961599595	2.4693181781744444	0.848849411513882	3.715669623607461	37.72682246531223	31.518663355088577	49.92647790326245	0.005877367348117213	0.0023628868918201245	0.022079579790890414	4.045211422209016
beach@BasicVSR++_av1_60	0.089447032297217	0.011733800350262696	0.18056887184403964	20865070.0	17339152.0	25228502.0	112.78218326447755	72.75280288870694	121.18659836270776	0.6719613645833072	0.6193779376981721	0.71921172546155	0.973233199390555	0.9582220333578643	0.9792960217413095	0.8857623227900191	0.8434851122628553	0.9109254420686194	0.4085855	0.3356	0.474	-2.6971471173007973	-6.869052166376993	-0.1190614147711305	-2.6971471173007973	-6.869052166376993	-0.1190614147711305	-19.07851865416696	-31.546587832771767	-9.820189804725267	-19.07851865416696	-31.546587832771767	-9.820189804725267	-35.98422411558859	-44.851183090322124	-23.627085847967393	-35.98422411558859	-44.851183090322124	-23.627085847967393	9123.824	7704.123	11254.251	-649.3630807668411	-698.3530625693568	-601.568782434727	2600.3242314236304	163.39522636845913	9851.587587795177	8938.158	7214.2866	11444.169	25.64027	7.8742814	92.54874	184.75305698768017	158.10445556777094	207.10228029184736	27068.56951772301	23903.73753202624	32426.89019933919	3.61372834737198	1.9423894240481374	6.448507506167594	36.5824122961147	30.22451984745343	49.22181356539615	0.00883814854757392	0.003717092286610185	0.019784043065433927	0.798232544294169
beach@BasicVSR++_x264_2000	0.4441010746476804	0.30186505364729604	0.5427073697193957	30207588.0	25494330.0	36334250.0	111.7531776957429	71.25416835142366	119.17612250418814	0.7945992882503213	0.7492012776619512	0.844056725579707	0.9780398190087282	0.965367600662019	0.9827532374396993	0.9107891810207865	0.8785388365120181	0.9330937075413562	0.17995112	0.1276	0.2409	-0.5829575957310532	-1.8997058168102239	-0.10949297222530645	-0.5829575957310532	-1.8997058168102239	-0.10949297222530645	-4.260580360371474	-9.057071356651637	-0.5068045531066547	-4.260580360371474	-9.057071356651637	-0.5068045531066547	-12.176087718006546	-19.197469763420862	-6.119007923165186	-12.176087718006546	-19.197469763420862	-6.119007923165186	5162.862	3977.2925	7176.667	-510.9901668050414	-592.8288117154901	-443.58990069657807	7776.802226555622	5351.544543400531	10849.660639854133	5720.0913	4311.397	7123.883	2.0556543	0.64287174	5.805873	125.70895505877353	114.3061355621305	142.69708739190057	19178.501126155646	15471.290961002576	25359.331300332033	1.247269843268583	0.3362281846386992	1.7440533548241106	38.948870800218096	33.680363833583726	51.14345126645934	0.004485546053625219	0.0026036569546923644	0.0129729259122104	7.749034370725059
beach@BasicVSR++_x264_500	0.2697426764003591	0.14549916732404242	0.38501440922190205	27171356.0	22210082.0	33329180.0	111.89454007981404	71.42458634939527	121.07300797317903	0.7249988927209509	0.6676919208015251	0.7866131244723833	0.9746883641529689	0.9608689665419188	0.9784449563770958	0.8949635249022689	0.8640369361545711	0.9200383999219275	0.28626892	0.2313	0.3457	-1.1844136950275181	-6.541108901409888	-0.12248187640521184	-1.1844136950275181	-6.541108901409888	-0.12248187640521184	-5.993355333622176	-13.05496485944177	-0.22938666160196206	-5.993355333622176	-13.05496485944177	-0.22938666160196206	-17.763095014876953	-30.12479720063592	-5.091861015875776	-17.763095014876953	-30.12479720063592	-5.091861015875776	7110.0576	5802.56	10173.192	-587.5195065158364	-670.6303005382325	-518.9595359948596	6932.753204106229	1312.3216069241564	12733.174545257754	7410.263	5882.9478	9229.405	6.980339	2.8253763	18.260656	149.60287075676413	132.37110926478263	174.27542657286526	24314.963812078397	20762.09112782236	30990.41948731898	2.1097803135118656	0.2787945638870468	3.063781873287674	38.08636032997481	32.49756483558187	50.492058704304256	0.005726600452284034	0.0027663794541544708	0.022672330819739402	3.625973731079612
beach@BasicVSR++_x265_2000	0.4396156423204928	0.3020425901781834	0.5286166979240768	30108820.0	25954014.0	35966740.0	111.66600947544698	71.35772275836908	118.41966550167855	0.7963298027790977	0.7294561123884894	0.8464971586502639	0.9785557807145833	0.9672083984835967	0.982926103891524	0.9113818774437855	0.8817374894001031	0.9367932718647743	0.18538778	0.1333	0.2511	-0.545407634875847	-1.782770476715556	-0.13600215943500388	-0.545407634875847	-1.782770476715556	-0.13600215943500388	-5.141656486041764	-9.596599822368805	-0.6260567477424073	-5.141656486041764	-9.596599822368805	-0.6260567477424073	-12.763838756551149	-18.862127542026887	-7.415687354849288	-12.763838756551149	-18.862127542026887	-7.415687354849288	5194.1978	4342.1885	6675.1074	-511.2414067033068	-621.8359912388474	-437.154434954056	7935.038519232746	6106.633114900551	10689.644287814259	5926.898	4455.073	8365.764	2.0028512	0.78081954	6.5721283	125.83540635974876	114.26711494026021	141.96975534211126	19109.193790153127	15232.455481635257	26473.15334447334	0.995242016459962	0.49648249462029526	1.9842298903068496	39.200898627026724	34.08629582988673	51.227653928760276	0.004961652314609556	0.0023207187346825746	0.01603259584820909	7.6172233400759755
beach@BasicVSR++_x265_500	0.2664024533209687	0.08391735687630836	0.4100599136129302	26534812.0	20688038.0	34334932.0	112.57534687482827	71.45764244308567	120.34818427359073	0.7301079037103059	0.6234188131286033	0.7993877680754152	0.9748085416201544	0.9623503200106184	0.9788851897623573	0.8964735998974939	0.865626931306784	0.9222834416592159	0.28496224	0.2061	0.424	-0.9549179812032297	-3.9765258385411513	-0.12944742646719687	-0.9549179812032297	-3.9765258385411513	-0.12944742646719687	-9.248827149697602	-19.769115898723634	-1.4321543577815037	-9.248827149697602	-19.769115898723634	-1.4321543577815037	-20.54753192061999	-33.426821796345685	-7.939456373619943	-20.54753192061999	-33.426821796345685	-7.939456373619943	7281.83	5553.0815	9547.029	-599.3186442510673	-703.5879475943289	-522.7284189710753	6360.17525941023	1775.3422205310164	11060.852770017327	7570.4106	5723.351	9660.742	8.834415	1.905262	27.886246	151.5424329525774	128.27197149995675	188.33414073953213	24076.069548984575	19441.913383203824	37356.73674185153	1.8325851025891897	0.6418266115803277	3.3789831670381076	38.36355554089749	32.914093457080654	50.0190470807304	0.007936180311934347	0.003756209048343994	0.020928293083546948	4.011616342552805
beach@COMISR_av1_40	0.24653082271786855	0.17296455005843395	0.3357622921825256	27470300.0	24082164.0	33345078.0	111.32357282786634	72.98242849917239	120.2241272042153	0.6932333884030634	0.6439397612363866	0.7363368955090552	0.9772554057960046	0.9618062753963159	0.9827144638057279	0.9093883617100919	0.8777738945412812	0.9226995629273967	0.31105778	0.2543	0.3698	-1.0095922070799854	-4.745751361411436	-0.1388579148226207	-1.0095922070799854	-4.745751361411436	-0.1388579148226207	-8.687638280842096	-14.836302424824808	-2.628721889693649	-8.687638280842096	-14.836302424824808	-2.628721889693649	-23.543846239399592	-30.24124217988318	-15.299798263950672	-23.543846239399592	-30.24124217988318	-15.299798263950672	8631.979	7545.2773	10547.867	-614.7472229465712	-681.0227602657638	-568.6299323813336	7464.593763677182	3761.0712569692164	12137.244209457103	7774.9834	6155.8296	9675.982	11.868344	4.479767	33.676888	158.8784740422343	147.43965302313495	171.30789772960674	28047.74366793593	24203.36307210219	34799.28740649728	1.8871108409563748	0.513633043279448	2.9345841319869734	38.3090298025303	32.23715570941937	50.161656534273384	0.005368123737542223	0.0022006884139828256	0.02100119053852644	5.750957305305098
beach@COMISR_av1_60	0.09993499194839	0.018764095624718088	0.21729383506805441	22107114.0	18322592.0	27127474.0	112.27045647935775	72.82694106322457	121.61572936276616	0.6645635529568787	0.6097006005475947	0.7180322551160399	0.9755196692832576	0.9605549640308702	0.9807404313234427	0.8999670003300815	0.8656264996382065	0.9149630215674799	0.41416663	0.331	0.5039	-2.13998956554736	-6.663146140253875	-0.1250749371589285	-2.13998956554736	-6.663146140253875	-0.1250749371589285	-17.48679735826771	-28.87196010113758	-9.240902405481448	-17.48679735826771	-28.87196010113758	-9.240902405481448	-34.79064736454872	-42.90593685516651	-26.921037994585056	-34.79064736454872	-42.90593685516651	-26.921037994585056	9167.807	7959.94	11317.6875	-650.5270592603662	-687.367441766047	-616.39678779176	2988.4181754351152	163.39522636845913	9695.264617327368	8660.827	7227.6064	11049.354	31.355865	10.527008	98.25006	184.1308779561622	156.97746378505852	207.34933807909573	27497.211028922324	24027.841184758985	32848.0954699051	3.0830532706652276	1.6760581792304095	5.8133660617927845	37.11308737282145	30.93970463609724	49.47399164035963	0.008778198368995526	0.004021161980409308	0.018101692380757664	1.7877747253207503
beach@COMISR_x264_2000	0.4734268330911397	0.35666387259010895	0.5504981011613187	33631836.0	28635528.0	39042056.0	111.26158473752392	71.68703181316323	119.15027373601419	0.6887982055566368	0.6369938428468748	0.7354114509275635	0.9788481649023745	0.9636945707344042	0.9828218371274063	0.9213697248647834	0.8870671078201272	0.9364037180288363	0.18557334	0.1528	0.2249	-1.6238215565619776	-3.3042337852097377	-0.19045469704760778	-1.6238215565619776	-3.3042337852097377	-0.19045469704760778	-1.9881404997866834	-6.982555090744425	-0.021735964939445445	-1.9881404997866834	-6.982555090744425	-0.021735964939445445	-7.702053556881884	-14.279130086011449	-0.834217573946576	-7.702053556881884	-14.279130086011449	-0.834217573946576	8528.643	7344.171	10436.607	-603.4713686149688	-666.8583057891684	-551.3456266263477	13118.620342123058	11244.19739243313	15050.066744038048	7529.461	5865.059	9855.108	3.0971565	1.6811241	6.2531443	141.26762764300227	134.84753419411774	147.75127967541465	31917.055574674723	28506.17652369395	39276.95125643028	0.5282573922914503	0.0022128334645543646	1.1547442973323143	39.68044851044717	34.44838900400938	51.61338050858858	0.004493157953718559	0.0024001391536718907	0.014845510732970888	8.842330950824964
beach@COMISR_x264_500	0.3165351224166318	0.14205607476635515	0.437883091642996	29850966.0	24047106.0	36316630.0	111.84138420693277	71.09101933455385	121.34037604917822	0.6866858518037166	0.6358522432313475	0.7325158660765201	0.9769779107267644	0.9623214535763452	0.9815278241566648	0.908264711630873	0.8757142950367663	0.9271317845038168	0.27147782	0.2073	0.3397	-1.7025405778255625	-5.630887498713917	-0.2221385147291954	-1.7025405778255625	-5.630887498713917	-0.2221385147291954	-4.152349285563924	-10.264899566926639	-0.012099579096874502	-4.152349285563924	-10.264899566926639	-0.012099579096874502	-15.948499614981188	-29.41130160099987	-5.689852964644915	-15.948499614981188	-29.41130160099987	-5.689852964644915	8746.249	7448.5493	11075.597	-620.3396887330643	-676.8013002351577	-577.2269917458815	9772.356434754516	6085.157927285043	13448.543973233682	7839.5396	6389.193	9584.673	8.505867	3.7688046	21.942623	152.329650276791	140.31319647099747	168.56691051638074	29158.62109656084	25443.828249695445	35909.26220350399	1.4893618375759918	0.11946943998641046	2.6908481124862575	38.70677880591068	33.33179071449462	50.759798556480995	0.005402248939326061	0.002482941819874595	0.021218043748975055	5.848364478664795
